Afghanistan,634,353,1603
Albania,511,328,1480
Algeria,467,371,1436
Andorra,462,323,1431
Angola,505,481,1474
Antigua and Barbuda,295,404,1264
Argentina,284,552,1253
Armenia,578,332,1547
Australia,816,519,1785
Austria,497,305,1466
Azerbaijan,584,331,1553
Bahamas,252,381,1221
Bahrain,593,375,1562
Bangladesh,698,382,1667
Barbados,300,413,1269
Belarus,533,280,1502
Belgium,470,292,1439
Belize,221,402,1190
Benin,465,424,1434
Bhutan,698,373,1667
Bolivia,285,494,1254
Bosnia and Herzegovina,506,317,1475
Botswana,522,508,1491
Brazil,319,479,1288
Brunei,764,437,1733
Bulgaria,525,323,1494
Burkina Faso,453,416,1422
Burundi,537,458,1506
Cambodia,737,414,1706
Cameroon,491,434,1460
Canada,188,258,1157
Cape Verde,396,407,1365
Central African Republic,511,431,1480
Chad,508,407,1477
Chile,268,546,1237
China,724,348,1693
Colombia,262,438,1231
Comoros,577,479,1546
Costa Rica,234,422,1203
Croatia,501,314,1470
Cuba,247,388,1216
Cyprus,544,348,1513
Czech Republic,499,296,1468
Democratic Republic of the Congo,520,456,1489
Denmark,484,269,1453
Djibouti,571,417,1540
Dominica,296,407,1265
Dominican Republic,270,397,1239
East Timor,789,474,1758
Ecuador,249,452,1218
Egypt,537,376,1506
El Salvador,221,411,1190
Equatorial Guinea,485,443,1454
Eritrea,561,407,1530
Estonia,527,255,1496
Eswatini,542,521,1511
Ethiopia,563,425,1532
Federated States of Micronesia,864,432,1833
Fiji,931,497,1900
Finland,530,223,1499
France,464,308,1433
Gabon,489,450,1458
Gambia,417,413,1386
Georgia,574,325,1543
Germany,484,290,1453
Ghana,455,427,1424
Greece,518,335,1487
Guatemala,217,407,1186
Guinea,428,420,1397
Guinea Bissau,418,416,1387
Guyana,301,436,1270
Haiti,264,397,1233
Honduras,225,409,1194
Hong Kong,764,387,1733
Hungary,509,307,1478
Iceland,409,220,1378
India,671,385,1640
Indonesia,765,452,1734
Iran,603,355,1572
Iraq,573,354,1542
Ireland,437,281,1406
Israel,552,360,1521
Italy,491,322,1460
Ivory Coast,443,428,1412
Jamaica,244,400,1213
Japan,826,345,1795
Jordan,556,362,1525
Kazakhstan,638,302,1607
Kenya,558,447,1527
Kiribati,939,447,1908
Kosovo,514,323,1483
Kuwait,585,367,1554
Kyrgyzstan,658,327,1627
Laos,734,397,1703
Latvia,525,264,1494
Lebanon,555,350,1524
Lesotho,534,531,1503
Liberia,433,431,1402
Libya,507,375,1476
Liechtenstein,489,306,1458
Lithuania,521,271,1490
Luxembourg,474,296,1443
Macau,760,388,1729
Madagascar,582,502,1551
Malawi,549,485,1518
Malaysia,744,439,1713
Maldives,653,436,1622
Mali,450,405,1419
Malta,498,347,1467
Marshall Islands,928,421,1897
Mauritania,429,395,1398
Mauritius,606,505,1575
Mexico,188,389,1157
Moldova,534,305,1503
Monaco,477,319,1446
Mongolia,732,308,1701
Montenegro,509,323,1478
Morocco,439,361,1408
Mozambique,551,496,1520
Myanmar,714,393,1683
Namibia,504,511,1473
Nauru,893,453,1862
Nepal,681,370,1650
Netherlands,473,286,1442
New Zealand,918,573,1887
Nicaragua,231,415,1200
Niger,481,403,1450
Nigeria,477,424,1446
North Korea,796,334,1765
North Macedonia,516,327,1485
Norway,489,224,1458
Oman,607,395,1576
Pakistan,640,368,1609
Palau,827,433,1796
Panama,245,425,1214
Papua New Guinea,841,465,1810
Paraguay,302,512,1271
Peru,258,474,1227
Philippines,785,416,1754
Poland,509,285,1478
Portugal,437,333,1406
Qatar,595,378,1564
Republic of the Congo,499,452,1468
Romania,525,310,1494
Russia,699,239,1668
Rwanda,538,453,1507
Saint Kitts and Nevis,293,404,1262
Saint Lucia,297,411,1266
Saint Vincent and the Grenadines,295,413,1264
Samoa,959,487,1928
San Marino,491,319,1460
Sao Tome and Principe,473,453,1442
Saudi Arabia,576,382,1545
Senegal,419,410,1388
Serbia,514,317,1483
Seychelles,612,469,1581
Sierra Leone,427,426,1396
Singapore,736,446,1705
Slovakia,510,300,1479
Slovenia,498,310,1467
Solomon Islands,883,471,1852
Somalia,586,430,1555
South Africa,525,529,1494
South Korea,799,344,1768
South Sudan,538,430,1507
Spain,448,332,1417
Sri Lanka,673,429,1642
Sudan,537,406,1506
Suriname,309,438,1278
Sweden,499,232,1468
Switzerland,480,308,1449
Syria,561,349,1530
Taiwan,781,384,1750
Tajikistan,648,337,1617
Tanzania,550,464,1519
Thailand,727,407,1696
Togo,461,424,1430
Tonga,955,509,1924
Trinidad and Tobago,295,420,1264
Tunisia,483,353,1452
Turkey,551,335,1520
Turkmenistan,615,334,1584
Tuvalu,940,461,1909
Uganda,544,445,1513
Ukraine,541,297,1510
United Arab Emirates,604,384,1573
United Kingdom,453,279,1422
United States,194,338,1163
Uruguay,309,540,1278
Uzbekistan,626,324,1595
Vanuatu,891,491,1860
Vatican City,493,326,1462
Venezuela,283,430,1252
Vietnam,747,409,1716
Yemen,584,406,1553
Zambia,533,488,1502
Zimbabwe,537,500,1506
